indicator,consensus_score_pearson,consensus_score_spearman,consensus_score_n,eng_wyckoff_pearson,eng_wyckoff_spearman,eng_wyckoff_n,eng_buffett_pearson,eng_buffett_spearman,eng_buffett_n,eng_can_slim_pearson,eng_can_slim_spearman,eng_can_slim_n
change_pct,,,2,,,2,,,2,,,2
intraday_pos,,,0,,,0,,,0,,,0
amplitude,,,0,,,0,,,0,,,0
open_strength,,,0,,,0,,,0,,,0
rsi_14,,,2,,,2,,,2,,,2
macd_histogram,,,2,,,2,,,2,,,2
kdj_k,,,2,,,2,,,2,,,2
kdj_d,,,2,,,2,,,2,,,2
kdj_j,,,2,,,2,,,2,,,2
bollinger_position,,,2,,,2,,,2,,,2
vwap_deviation,,,2,,,2,,,2,,,2
volume_ratio,,,2,,,2,,,2,,,2
ma_alignment,,,2,,,2,,,2,,,2
price_vs_ma20,,,0,,,0,,,0,,,0
